         time |     flux | uncertainty
120.678412841 | 401298.0 |     91.5127
120.679093963 | 401610.0 |     91.5457
120.679775185 | 401374.0 |     91.5212
120.680456307 | 401338.0 |     91.5192
120.681137429 | 401447.0 |     91.5293
120.681818651 | 401276.0 |     91.5101
120.682499773 | 401237.0 |     91.5257
120.683180795 | 401259.0 |     91.5122
120.683862016 | 401345.0 |     91.5187
120.684543138 | 401362.0 |     91.5209
 120.68522426 | 401286.0 |      91.515
120.685905482 | 401254.0 |     91.5097
120.686586604 | 401240.0 |     91.5096
120.687267826 | 401281.0 |     91.5132
120.687948948 | 401180.0 |     91.5046
 120.68862997 | 401203.0 |     91.5072
120.689311092 | 401245.0 |     91.5089
120.689992314 | 401378.0 |      91.523
120.690673435 | 401317.0 |     91.5154
120.691354657 | 401234.0 |      91.508
120.692035779 | 401227.0 |     91.5059
120.692716901 | 401329.0 |      91.518
120.693398023 | 401281.0 |     91.5133
120.694079145 | 401251.0 |     91.5079
120.694760267 | 401343.0 |     91.5173
120.695441389 | 401416.0 |      91.527
120.696122611 | 401376.0 |     91.5291
120.696803732 | 401351.0 |     91.5218
120.697484854 | 401316.0 |     91.5169
120.698166076 | 401302.0 |     91.5171
120.698847198 | 401266.0 |     91.5105
 120.69952822 | 401286.0 |     91.5133
120.700209342 | 401368.0 |      91.522
120.700890564 | 401336.0 |      91.519
120.701571686 | 401386.0 |     91.5225
120.702252808 | 401217.0 |     91.5083
120.702934029 | 401405.0 |     91.5265
120.703615151 | 401267.0 |      91.512
120.704296273 | 401261.0 |     91.5102
120.704977395 | 401311.0 |     91.5174
120.705658517 | 401452.0 |     91.5302
120.706339639 | 401363.0 |     91.5217
120.707020861 | 401261.0 |     91.5116
120.707701983 | 401288.0 |     91.5129
120.708383105 | 401237.0 |      91.508
120.709064327 | 401336.0 |     91.5176
120.709745448 | 401508.0 |     91.5359
 120.71042647 | 401285.0 |     91.5286
120.711107592 | 401433.0 |     91.5291
120.711788814 | 401471.0 |     91.5315
120.712469936 | 401467.0 |     91.5322
120.713151058 | 401272.0 |     91.5114
 120.71383228 | 401197.0 |     91.5061
120.714513402 | 401464.0 |     91.5318
120.715194624 | 401206.0 |     91.5124
120.715875645 | 401317.0 |     91.5161
120.716556767 | 401398.0 |     91.5244
120.717237889 | 401163.0 |     91.5008
120.717919111 | 401306.0 |     91.5146
120.718600233 | 401181.0 |     91.5032
120.719281455 | 401251.0 |     91.5091
120.719962577 | 401327.0 |     91.5185
120.720643699 | 401455.0 |     91.5306
120.721324721 | 401435.0 |     91.5281
120.722005942 | 401276.0 |     91.5122
120.722687064 | 401408.0 |     91.5272
120.723368286 | 401326.0 |     91.5182
120.724049408 | 401189.0 |     91.5029
 120.72473053 | 401426.0 |     91.5286
120.725411752 | 401209.0 |     91.5083
120.726092874 | 401254.0 |     91.5118
120.726773896 | 401372.0 |     91.5218
120.727455118 | 401267.0 |     91.5167
120.728136239 | 401388.0 |     91.5235
120.728817361 | 401310.0 |     91.5169
120.729498483 | 401196.0 |     91.5045
120.730179705 | 401400.0 |      91.524
120.730860827 | 401253.0 |     91.5094
120.731541949 | 401244.0 |     91.5087
120.732223071 | 401175.0 |     91.5041
120.732904193 | 401305.0 |     91.5149
120.733585315 | 401101.0 |     91.4951
